R	cavere	caut	拉丁语 cavere（当心、提防、留神看着），过去分词 cautus → 名词 cautio；与 cavus（中空的）及其派生 cave（洞穴）无关，是两个拉丁词，勿混	to beware, to watch out beforehand / 先提防着、留神看着	脚尖先探一探前面的路面，压一压听有没有响，才把整个身子的重量交上去	to beware, to guard against beforehand	beware	先提防着	domain-perceive
W	council	noun	/ˈkaʊnsəl/	conciliare	con-（一起）+ cil（concilium 召集到一处）→ 被召到一处议事的那群人	古法语 conseil / concile 在英语里混同，本词出拉丁语 concilium（集会、联盟）← com-（一起）+ calare（召唤）；与 consulere（商议、求教）不同源，counsel 才属那一支	a group of people chosen to make decisions or give advice	长桌两边坐满人，每人面前一份文件，主位敲一下木槌，逐项过一遍	委员会/议会/理事会	The city council voted against the new road.|She sits on the student council.	a body called together to decide – 被召集到一处做决定的一群人	委员会：为某事被召集起来的一小群人|议会：地方上有决策权的那个机构|理事会：一个组织内部定事的常设班子		
W	crystal	noun	/ˈkrɪstl/			古法语 cristal ← 拉丁语 crystallus ← 希腊语 krystallos（冰、水晶）← kryos（霜、冰寒）；与希腊语 krinein（判别）无关，不属 crit 一支	a clear hard mineral that forms in regular flat-sided shapes	一块透亮的石头，每个面都平，转一下角度就有一道光从里面折出来	水晶/结晶/晶体	The cave walls were lined with tiny crystals.|Salt forms crystals as the water dries.	clear stuff frozen into flat faces – 清透之物长成一个个平面	水晶：透亮的那种石头本身|结晶：溶液里慢慢长出规整颗粒的过程|晶体：内部按规矩排列、外面带平面的那类固体		
W	danger	noun	/ˈdeɪndʒə/	domus	domin（dominus 家主、主人）+ -arium（权限）→ 落进别人手里、由他处置	古法语 dangier ← 通俗拉丁语 *dominiarium（主人的权力、处置权）← 拉丁语 dominus（家主）	the possibility that something bad or harmful may happen	站在窄窄的檐口上，脚下没有东西托着，身子已经不由自己，全看下一步落在哪里	危险/危害	The bridge is old and full of danger.|Smoking is a danger to your health.	being in another's hands, not your own – 落在别人手里，由不得自己	危险：处境已不受自己掌握，随时可能出事|危害：那股力量真的落到人或物身上		
W	precaution	noun	/prɪˈkɔːʃn/	cavere	prae-（预先）+ caut（cavere 当心、留神）→ 事情还没来，先留神着做点什么	拉丁语 praecautio ← praecavere：prae-（预先）+ cavere（当心、提防）	something done in advance to stop a possible problem	出门时天还晴着，包里先塞了一把伞，因为昨夜听见过风声	预防措施/防范	Take an umbrella as a precaution.|They locked the door as a precaution.	acting before the trouble arrives – 麻烦还没到就先动手	预防措施：为挡住可能的坏事而先做的那件具体的事|防范：整体上先留着的那份戒心		
W	conceal	verb	/kənˈsiːl/			古法语 conceler ← 拉丁语 concelare：com-（彻底）+ celare（藏起）；本项目未为 celare 一支建根	to hide something so that it cannot be seen or found out	把信塞进地板缝里，又把床单铺平压好，屋里看不出动过的痕迹	隐藏/隐瞒	He tried to conceal the letter in his coat.|She could not conceal her surprise.	putting a thing where eyes cannot reach – 放到眼睛到不了的地方	隐藏：把实物挪到看不见的地方|隐瞒：把消息或情绪扣住不让人知道		
W	connection	noun	/kəˈnekʃn/			拉丁语 connexio ← connectere：com-（一起）+ nectere（系、缚）；本项目未为 nectere 一支建根	a link between two things, people, or ideas	两根电线的铜头绞在一处，缠上胶布，灯一下就亮了	连接/联系/关系	There is no connection between the two cases.|The train connection was delayed.	two things tied so one reaches the other – 两头系住，这边能通到那边	连接：两个东西实际接上了|联系：人与人之间来往的那条线|关系：两件事之间说得出的那层牵连		
W	contrary	adjective / noun	/ˈkɒntrəri/			古法语 contraire ← 拉丁语 contrarius ← contra（对面、迎面）；contra 是前缀性成分，本项目未为其单独建根	completely different, or the opposite of something	两个人背靠背站着，一个往东迈步，另一个同时往西	相反的/对立的	His view is contrary to mine.|On the contrary, I enjoyed it.	facing the other way – 脸朝着另一边	相反的：方向或说法正好倒过来|对立的：两者不只不同，还互相顶着		
W	copper	noun	/ˈkɒpə/			古英语 coper ← 晚期拉丁语 cuprum ← aes cyprium（塞浦路斯的金属），该岛古时产此矿	a soft reddish-brown metal that carries heat and electricity well	一根旧水管刮掉锈，底下是红黄色的亮面，放久了又蒙上一层青绿	铜/铜币	The pipes in this house are made of copper.|He paid with a few coppers.	the red metal that came from that island – 从那座岛上来的红色金属	铜：那种红黄色的软金属|铜币：用它铸的小面额钱		
W	corridor	noun	/ˈkɒrɪdɔː/	curr	corr（currere 跑、来回走）+ -dor（处所）→ 供人来回走动的那条长条地方	法语 corridor ← 意大利语 corridore（可供奔走的长条地方）← correre ← 拉丁语 currere（跑）	a long narrow passage inside a building with doors along the sides	楼里一条又长又窄的过道，两侧一排门，脚步声在头顶来回响	走廊/通道	Her office is at the end of the corridor.|We waited in the corridor outside.	a long strip made for moving through – 专供人来回走的一条长地方	走廊：楼里连着各房间的那条长条空间|通道：任何供穿行的狭长路线		
W	coupon	noun	/ˈkuːpɒn/			法语 coupon（剪下的一小片）← couper（剪、切）← 古法语 colp ← 晚期拉丁语 colpus（一击）；本项目未为这一支建根	a small printed piece of paper that gives you a right to something	报纸角上印着一小块虚线框，沿线剪下来，到店里能抵一部分钱	优惠券/票证	She cut out the coupon from the magazine.|This coupon gives you ten percent off.	a small piece cut off the sheet – 从整张上剪下来的一小片	优惠券：剪下来能少付钱的那一小片|票证：凭它领取或兑换某物的凭据		
W	courtesy	noun	/ˈkɜːtəsi/			古法语 curteisie ← curteis（合乎庭中体面的）← cort（庭院、宫廷）← 拉丁语 cohortem（围起来的院子）；本项目未为这一支建根	polite behaviour that shows respect for other people	进门时替后面的人扶住门，等他走过去才松手	礼貌/礼节	He held the door open out of courtesy.|She greeted them with great courtesy.	the manner kept in another's yard – 在别人的场面上该有的样子	礼貌：待人时那份不抢先、不冒犯的态度|礼节：场面上照例要做的那些具体动作		
