W	write	verb	/write/			古英语 writan ← 原始日耳曼语 *writaną（刻、划）	a thing or action related to write	笔尖在白纸上连续留下深色线条，字母一行行向右延伸	写/书写	The write changed the situation.|Researchers discussed the write carefully.	a clear scene connected with write – 与该词相连的清晰场景	写：从核心场景引出的常用义		
W	writing	noun	/writing/			write 的现在分词名词化	a thing or action related to writing	桌上摊着几页手写稿，段落和标点排成整齐的行	写作/文字	The writing changed the situation.|Researchers discussed the writing carefully.	a clear scene connected with writing – 与该词相连的清晰场景	写作：从核心场景引出的常用义		
W	wrong	adjective/adverb/noun	/wrong/			古英语 wrang（弯曲、错误）← 原始日耳曼语	a thing or action related to wrong	两条答案并排，红笔在其中一条旁画出叉号	错误的/不对的	The wrong changed the situation.|Researchers discussed the wrong carefully.	a clear scene connected with wrong – 与该词相连的清晰场景	错误的：从核心场景引出的常用义		
W	yard	noun	/yard/			古英语 geard（围起来的土地）；码义来自同一长度单位传统	a thing or action related to yard	木栅栏围出一块空地，门边放着一把卷尺	院子/码	The yard changed the situation.|Researchers discussed the yard carefully.	a clear scene connected with yard – 与该词相连的清晰场景	院子：从核心场景引出的常用义		
W	yawn	verb/noun	/yawn/			古英语 ġēanian（张口）	a thing or action related to yawn	清晨的人张大嘴伸展双臂，窗外天色刚亮	打哈欠	The yawn changed the situation.|Researchers discussed the yawn carefully.	a clear scene connected with yawn – 与该词相连的清晰场景	打哈欠：从核心场景引出的常用义		
W	year	noun	/year/			古英语 gēar ← 原始日耳曼语 *jērą	a thing or action related to year	日历一页页被翻过，最后回到同一个月份	年/年度	The year changed the situation.|Researchers discussed the year carefully.	a clear scene connected with year – 与该词相连的清晰场景	年：从核心场景引出的常用义		
W	yearly	adjective/adverb	/yearly/			year + -ly	a thing or action related to yearly	墙上挂着四季日历，每年同一格被重新标记	每年的	The yearly changed the situation.|Researchers discussed the yearly carefully.	a clear scene connected with yearly – 与该词相连的清晰场景	每年的：从核心场景引出的常用义		
W	yell	verb/noun	/yell/			古英语 ġellan（大声喊）	a thing or action related to yell	操场另一端的人张嘴挥手，声音传过整片空地	叫喊/喊叫	The yell changed the situation.|Researchers discussed the yell carefully.	a clear scene connected with yell – 与该词相连的清晰场景	叫喊：从核心场景引出的常用义		
W	yellow	adjective/noun	/yellow/			古英语 geolu ← 原始日耳曼语 *gelwaz	a thing or action related to yellow	秋天的叶片铺满小路，阳光照出明亮色块	黄色的/黄色	The yellow changed the situation.|Researchers discussed the yellow carefully.	a clear scene connected with yellow – 与该词相连的清晰场景	黄色的：从核心场景引出的常用义		
W	yes	adverb/noun	/yes/			古英语 ġēsse（确实）	a thing or action related to yes	点头的人在表格最后一栏打下一个肯定记号	是/同意	The yes changed the situation.|Researchers discussed the yes carefully.	a clear scene connected with yes – 与该词相连的清晰场景	是：从核心场景引出的常用义		
W	yesterday	adverb/noun	/yesterday/			古英语 ġiestran dæġ（前一日）	a thing or action related to yesterday	墙上日历的前一格被翻起，日期已经过去	昨天	The yesterday changed the situation.|Researchers discussed the yesterday carefully.	a clear scene connected with yesterday – 与该词相连的清晰场景	昨天：从核心场景引出的常用义		
W	yield	verb/noun	/yield/			古英语 ġieldan（偿还、给予）← 原始日耳曼语	a thing or action related to yield	树枝压弯后让开道路，果实一串串垂在下面	产生/屈服/产量	The yield changed the situation.|Researchers discussed the yield carefully.	a clear scene connected with yield – 与该词相连的清晰场景	产生：从核心场景引出的常用义		
W	young	adjective/noun	/young/			古英语 geong ← 原始日耳曼语 *jungwa-	a thing or action related to young	小动物跟在成年动物身后，四肢还显得细长	年轻的/幼小的	The young changed the situation.|Researchers discussed the young carefully.	a clear scene connected with young – 与该词相连的清晰场景	年轻的：从核心场景引出的常用义		
W	youngster	noun	/youngster/			young + -ster	a thing or action related to youngster	一群孩子背着书包在校门口追跑	年轻人/小孩	The youngster changed the situation.|Researchers discussed the youngster carefully.	a clear scene connected with youngster – 与该词相连的清晰场景	年轻人：从核心场景引出的常用义		
W	yours	pronoun	/yours/			your + -s	a thing or action related to yours	两本书并排放着，一本封面上贴着写有姓名的标签	你的/你们的	The yours changed the situation.|Researchers discussed the yours carefully.	a clear scene connected with yours – 与该词相连的清晰场景	你的：从核心场景引出的常用义		
W	yourself	pronoun	/yourself/			your + self	a thing or action related to yourself	镜子前的人抬手，镜中动作与本人完全同步	你自己	The yourself changed the situation.|Researchers discussed the yourself carefully.	a clear scene connected with yourself – 与该词相连的清晰场景	你自己：从核心场景引出的常用义		
W	youth	noun	/youth/			古英语 ġeoguþ（年轻时期）	a thing or action related to youth	操场上年轻人奔跑，阳光照在刚起步的身影上	青年/青春	The youth changed the situation.|Researchers discussed the youth carefully.	a clear scene connected with youth – 与该词相连的清晰场景	青年：从核心场景引出的常用义		
W	zeal	noun	/zeal/			古法语 zel ← 拉丁语 zelus ← 希腊 zēlos（热望）	a thing or action related to zeal	志愿者一早打开门，把材料一份份摆上长桌	热情/热忱	The zeal changed the situation.|Researchers discussed the zeal carefully.	a clear scene connected with zeal – 与该词相连的清晰场景	热情：从核心场景引出的常用义		
W	zebra	noun	/zebra/			意大利语 zebra，源头更早不明	a thing or action related to zebra	黑白条纹的动物穿过草地，远处的条纹融成一片	斑马	The zebra changed the situation.|Researchers discussed the zebra carefully.	a clear scene connected with zebra – 与该词相连的清晰场景	斑马：从核心场景引出的常用义		
W	zigzag	noun/adjective	/zigzag/			法语 zigzag，模拟曲折线条的构形	a thing or action related to zigzag	山路左右连续折返，每个弯都朝相反方向	之字形/曲折的	The zigzag changed the situation.|Researchers discussed the zigzag carefully.	a clear scene connected with zigzag – 与该词相连的清晰场景	之字形：从核心场景引出的常用义		
W	zinc	noun	/zinc/			法语 zinc ← 德语 Zink	a thing or action related to zinc	银灰色金属片放在实验台上，表面反射冷光	锌	The zinc changed the situation.|Researchers discussed the zinc carefully.	a clear scene connected with zinc – 与该词相连的清晰场景	锌：从核心场景引出的常用义		
W	zip	verb/noun	/zip/			英语 zip（拟声词，表示快速移动或拉链声）	a thing or action related to zip	两排细齿被滑块一合，布袋口立刻闭上	拉上拉链/快速移动	The zip changed the situation.|Researchers discussed the zip carefully.	a clear scene connected with zip – 与该词相连的清晰场景	拉上拉链：从核心场景引出的常用义		zip up sth —— 拉上某物的拉链
