W	tariff	noun	/ˈtariff/			英语词条 tariff，现代词义按整体记	a thing or action related to tariff	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tariff	The tariff changed the situation.|Researchers discussed the tariff carefully.	a clear scene connected with tariff – 与该词相连的清晰场景	tariff：从核心场景引出的常用义		
W	task	noun	/ˈtask/			英语词条 task，现代词义按整体记	a thing or action related to task	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	task	The task changed the situation.|Researchers discussed the task carefully.	a clear scene connected with task – 与该词相连的清晰场景	task：从核心场景引出的常用义		
W	taste	noun	/ˈtaste/			英语词条 taste，现代词义按整体记	a thing or action related to taste	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	taste	The taste changed the situation.|Researchers discussed the taste carefully.	a clear scene connected with taste – 与该词相连的清晰场景	taste：从核心场景引出的常用义		
W	tax	noun	/ˈtax/			英语词条 tax，现代词义按整体记	a thing or action related to tax	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tax	The tax changed the situation.|Researchers discussed the tax carefully.	a clear scene connected with tax – 与该词相连的清晰场景	tax：从核心场景引出的常用义		
W	taxi	noun	/ˈtaxi/			英语词条 taxi，现代词义按整体记	a thing or action related to taxi	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	taxi	The taxi changed the situation.|Researchers discussed the taxi carefully.	a clear scene connected with taxi – 与该词相连的清晰场景	taxi：从核心场景引出的常用义		
W	tea	noun	/ˈtea/			英语词条 tea，现代词义按整体记	a thing or action related to tea	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tea	The tea changed the situation.|Researchers discussed the tea carefully.	a clear scene connected with tea – 与该词相连的清晰场景	tea：从核心场景引出的常用义		
W	teach	noun	/ˈteach/			英语词条 teach，现代词义按整体记	a thing or action related to teach	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	teach	The teach changed the situation.|Researchers discussed the teach carefully.	a clear scene connected with teach – 与该词相连的清晰场景	teach：从核心场景引出的常用义		
W	teacher	noun	/ˈteacher/			英语词条 teacher，现代词义按整体记	a thing or action related to teacher	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	teacher	The teacher changed the situation.|Researchers discussed the teacher carefully.	a clear scene connected with teacher – 与该词相连的清晰场景	teacher：从核心场景引出的常用义		
W	team	noun	/ˈteam/			英语词条 team，现代词义按整体记	a thing or action related to team	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	team	The team changed the situation.|Researchers discussed the team carefully.	a clear scene connected with team – 与该词相连的清晰场景	team：从核心场景引出的常用义		
W	tear	noun	/ˈtear/			英语词条 tear，现代词义按整体记	a thing or action related to tear	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tear	The tear changed the situation.|Researchers discussed the tear carefully.	a clear scene connected with tear – 与该词相连的清晰场景	tear：从核心场景引出的常用义		
W	tease	noun	/ˈtease/			英语词条 tease，现代词义按整体记	a thing or action related to tease	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tease	The tease changed the situation.|Researchers discussed the tease carefully.	a clear scene connected with tease – 与该词相连的清晰场景	tease：从核心场景引出的常用义		
W	tedious	noun	/ˈtedious/			英语词条 tedious，现代词义按整体记	a thing or action related to tedious	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tedious	The tedious changed the situation.|Researchers discussed the tedious carefully.	a clear scene connected with tedious – 与该词相连的清晰场景	tedious：从核心场景引出的常用义		
W	teenager	noun	/ˈteenager/			英语词条 teenager，现代词义按整体记	a thing or action related to teenager	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	teenager	The teenager changed the situation.|Researchers discussed the teenager carefully.	a clear scene connected with teenager – 与该词相连的清晰场景	teenager：从核心场景引出的常用义		
W	telegram	noun	/ˈtelegram/			英语词条 telegram，现代词义按整体记	a thing or action related to telegram	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	telegram	The telegram changed the situation.|Researchers discussed the telegram carefully.	a clear scene connected with telegram – 与该词相连的清晰场景	telegram：从核心场景引出的常用义		
W	telescope	noun	/ˈtelescope/			英语词条 telescope，现代词义按整体记	a thing or action related to telescope	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	telescope	The telescope changed the situation.|Researchers discussed the telescope carefully.	a clear scene connected with telescope – 与该词相连的清晰场景	telescope：从核心场景引出的常用义		
W	tell	noun	/ˈtell/			英语词条 tell，现代词义按整体记	a thing or action related to tell	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tell	The tell changed the situation.|Researchers discussed the tell carefully.	a clear scene connected with tell – 与该词相连的清晰场景	tell：从核心场景引出的常用义		
W	temple	noun	/ˈtemple/			英语词条 temple，现代词义按整体记	a thing or action related to temple	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	temple	The temple changed the situation.|Researchers discussed the temple carefully.	a clear scene connected with temple – 与该词相连的清晰场景	temple：从核心场景引出的常用义		
W	tempo	noun	/ˈtempo/			英语词条 tempo，现代词义按整体记	a thing or action related to tempo	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tempo	The tempo changed the situation.|Researchers discussed the tempo carefully.	a clear scene connected with tempo – 与该词相连的清晰场景	tempo：从核心场景引出的常用义		
W	tennis	noun	/ˈtennis/			英语词条 tennis，现代词义按整体记	a thing or action related to tennis	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tennis	The tennis changed the situation.|Researchers discussed the tennis carefully.	a clear scene connected with tennis – 与该词相连的清晰场景	tennis：从核心场景引出的常用义		
W	tentative	noun	/ˈtentative/			英语词条 tentative，现代词义按整体记	a thing or action related to tentative	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	tentative	The tentative changed the situation.|Researchers discussed the tentative carefully.	a clear scene connected with tentative – 与该词相连的清晰场景	tentative：从核心场景引出的常用义		
W	term	noun	/ˈterm/			英语词条 term，现代词义按整体记	a thing or action related to term	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	term	The term changed the situation.|Researchers discussed the term carefully.	a clear scene connected with term – 与该词相连的清晰场景	term：从核心场景引出的常用义		
W	terminal	noun	/ˈterminal/			英语词条 terminal，现代词义按整体记	a thing or action related to terminal	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	terminal	The terminal changed the situation.|Researchers discussed the terminal carefully.	a clear scene connected with terminal – 与该词相连的清晰场景	terminal：从核心场景引出的常用义		
W	terminate	noun	/ˈterminate/			英语词条 terminate，现代词义按整体记	a thing or action related to terminate	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	terminate	The terminate changed the situation.|Researchers discussed the terminate carefully.	a clear scene connected with terminate – 与该词相连的清晰场景	terminate：从核心场景引出的常用义		
W	territory	noun	/ˈterritory/			英语词条 territory，现代词义按整体记	a thing or action related to territory	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	territory	The territory changed the situation.|Researchers discussed the territory carefully.	a clear scene connected with territory – 与该词相连的清晰场景	territory：从核心场景引出的常用义		
W	textbook	noun	/ˈtextbook/			英语词条 textbook，现代词义按整体记	a thing or action related to textbook	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	textbook	The textbook changed the situation.|Researchers discussed the textbook carefully.	a clear scene connected with textbook – 与该词相连的清晰场景	textbook：从核心场景引出的常用义		
W	thank	noun	/ˈthank/			英语词条 thank，现代词义按整体记	a thing or action related to thank	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	thank	The thank changed the situation.|Researchers discussed the thank carefully.	a clear scene connected with thank – 与该词相连的清晰场景	thank：从核心场景引出的常用义		
W	theater	noun	/ˈtheater/			英语词条 theater，现代词义按整体记	a thing or action related to theater	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	theater	The theater changed the situation.|Researchers discussed the theater carefully.	a clear scene connected with theater – 与该词相连的清晰场景	theater：从核心场景引出的常用义		
W	theft	noun	/ˈtheft/			英语词条 theft，现代词义按整体记	a thing or action related to theft	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	theft	The theft changed the situation.|Researchers discussed the theft carefully.	a clear scene connected with theft – 与该词相连的清晰场景	theft：从核心场景引出的常用义		
W	theirs	noun	/ˈtheirs/			英语词条 theirs，现代词义按整体记	a thing or action related to theirs	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	theirs	The theirs changed the situation.|Researchers discussed the theirs carefully.	a clear scene connected with theirs – 与该词相连的清晰场景	theirs：从核心场景引出的常用义		
W	theme	noun	/ˈtheme/			英语词条 theme，现代词义按整体记	a thing or action related to theme	一张卡片放在桌面中央，旁边摆着几件相关物品，窗光从左侧照来	theme	The theme changed the situation.|Researchers discussed the theme carefully.	a clear scene connected with theme – 与该词相连的清晰场景	theme：从核心场景引出的常用义		
